League,Season,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,PlayersScored,CoachHome,CoachAway,Referee
SP1,2024-25,2023-09-12,Mallorca,Sevilla,1,0,H,6,19,3,5,,Javier Aguirre,Quique Sánchez Flores,
SP1,2024-25,2023-10-12,Ath Madrid,Almeria,2,1,H,13,19,4,5,,Diego Simeone,Pepe Mel,
SP1,2024-25,2023-10-12,Cadiz,Osasuna,1,1,D,12,13,5,5,,Mauricio Pellegrino,Jagoba Arrasate,
SP1,2024-25,2023-10-12,Barcelona,Girona,2,4,A,31,15,11,7,,Xavi,Míchel,
SP1,2024-25,2023-11-12,Granada,Ath Bilbao,1,1,D,7,19,4,4,,José Ramón Sandoval,Ernesto Valverde,
SP1,2024-25,2023-11-12,Vallecano,Celta,0,0,D,17,4,4,2,,Iñigo Pérez,Claudio Giráldez,
SP1,2024-25,,Osasuna,Vallecano,1,0,H,10,9,4,3,,Jagoba Arrasate,Iñigo Pérez,
SP1,2024-25,,Celta,Granada,1,0,H,11,7,4,2,,Claudio Giráldez,José Ramón Sandoval,
SP1,2024-25,,Ath Bilbao,Ath Madrid,2,0,H,16,7,7,3,,Ernesto Valverde,Diego Simeone,
SP1,2024-25,,Sevilla,Getafe,0,3,A,12,14,4,7,,Quique Sánchez Flores,José Bordalás,
SP1,2024-25,,Valencia,Barcelona,1,1,D,11,16,4,8,,Rubén Baraja,Xavi,
SP1,2024-25,,Almeria,Mallorca,0,0,D,7,20,1,2,,Pepe Mel,Javier Aguirre,
SP1,2024-25,,Sociedad,Betis,0,0,D,12,12,4,3,,Imanol Alguacil,Manuel Pellegrini,
SP1,2024-25,,Las Palmas,Cadiz,1,1,D,7,13,2,5,,García Pimienta,Mauricio Pellegrino,
SP1,2024-25,,Real Madrid,Villarreal,4,1,H,22,3,9,1,,Carlo Ancelotti,Marcelino,
SP1,2024-25,,Girona,Alaves,3,0,H,9,12,4,2,,Míchel,Luis García,
SP1,2024-25,,Vallecano,Valencia,0,1,A,7,8,1,3,,Iñigo Pérez,Rubén Baraja,
SP1,2024-25,,Ath Madrid,Getafe,3,3,D,8,29,4,9,,Diego Simeone,José Bordalás,
SP1,2024-25,,Granada,Sevilla,0,3,A,12,12,3,5,,José Ramón Sandoval,Quique Sánchez Flores,
SP1,2024-25,,Barcelona,Almeria,3,2,H,30,10,11,5,,Xavi,Pepe Mel,
SP1,2024-25,,Ath Bilbao,Las Palmas,1,0,H,19,5,10,1,,Ernesto Valverde,García Pimienta,
SP1,2024-25,,Villarreal,Celta,3,2,H,12,15,8,5,,Marcelino,Claudio Giráldez,
SP1,2024-25,,Betis,Girona,1,1,D,21,12,4,4,,Manuel Pellegrini,Míchel,
SP1,2024-25,,Cadiz,Sociedad,0,0,D,10,8,2,1,,Mauricio Pellegrino,Imanol Alguacil,
SP1,2024-25,,Alaves,Real Madrid,0,1,A,8,9,2,4,,Luis García,Carlo Ancelotti,
SP1,2024-25,,Mallorca,Osasuna,3,2,H,15,12,8,7,,Javier Aguirre,Jagoba Arrasate,
SP1,2024-25,,Ath Madrid,Sevilla,1,0,H,12,8,4,2,,Diego Simeone,Quique Sánchez Flores,
SP1,2024-25,2024-02-01,Getafe,Vallecano,0,2,A,5,12,0,8,,José Bordalás,Iñigo Pérez,
SP1,2024-25,2024-02-01,Sociedad,Alaves,1,1,D,16,7,6,2,,Imanol Alguacil,Luis García,
SP1,2024-25,2024-02-01,Valencia,Villarreal,3,1,H,11,8,8,4,,Rubén Baraja,Marcelino,
SP1,2024-25,2024-03-01,Granada,Cadiz,2,0,H,15,15,8,2,,José Ramón Sandoval,Mauricio Pellegrino,
SP1,2024-25,2024-03-01,Celta,Betis,2,1,H,19,14,6,3,,Claudio Giráldez,Manuel Pellegrini,
SP1,2024-25,2024-03-01,Real Madrid,Mallorca,1,0,H,17,7,5,0,,Carlo Ancelotti,Javier Aguirre,
SP1,2024-25,2024-03-01,Girona,Ath Madrid,4,3,H,17,18,9,12,,Míchel,Diego Simeone,
SP1,2024-25,2024-04-01,Osasuna,Almeria,1,0,H,14,4,2,0,,Jagoba Arrasate,Pepe Mel,
SP1,2024-25,2024-04-01,Sevilla,Ath Bilbao,0,2,A,11,15,2,6,,Quique Sánchez Flores,Ernesto Valverde,
SP1,2024-25,2024-04-01,Las Palmas,Barcelona,1,2,A,12,15,3,5,,García Pimienta,Xavi,
SP1,2024-25,2024-12-01,Sevilla,Alaves,2,3,A,19,16,4,8,,Quique Sánchez Flores,Luis García,
SP1,2024-25,,Las Palmas,Villarreal,3,0,H,8,17,3,3,,García Pimienta,Marcelino,
SP1,2024-25,,Mallorca,Celta,1,1,D,17,6,6,2,,Javier Aguirre,Claudio Giráldez,
SP1,2024-25,,Ath Bilbao,Sociedad,2,1,H,10,9,3,1,,Ernesto Valverde,Imanol Alguacil,
SP1,2024-25,,Betis,Granada,1,0,H,25,6,6,2,,Manuel Pellegrini,José Ramón Sandoval,
SP1,2024-25,,Almeria,Girona,0,0,D,20,5,3,1,,Pepe Mel,Míchel,
SP1,2024-25,,Cadiz,Valencia,1,4,A,10,9,2,5,,Mauricio Pellegrino,Rubén Baraja,
SP1,2024-25,,Alaves,Cadiz,1,0,H,13,9,3,1,,Luis García,Mauricio Pellegrino,
SP1,2024-25,,Vallecano,Las Palmas,0,2,A,16,10,3,5,,Iñigo Pérez,García Pimienta,
SP1,2024-25,,Villarreal,Mallorca,1,1,D,18,8,5,2,,Marcelino,Javier Aguirre,
SP1,2024-25,,Valencia,Ath Bilbao,1,0,H,6,6,1,3,,Rubén Baraja,Ernesto Valverde,
SP1,2024-25,,Celta,Sociedad,0,1,A,6,6,2,2,,Claudio Giráldez,Imanol Alguacil,
SP1,2024-25,,Osasuna,Getafe,3,2,H,13,10,7,7,,Jagoba Arrasate,José Bordalás,
SP1,2024-25,,Real Madrid,Almeria,3,2,H,18,10,6,2,,Carlo Ancelotti,Pepe Mel,
SP1,2024-25,,Betis,Barcelona,2,4,A,14,11,5,4,,Manuel Pellegrini,Xavi,
SP1,2024-25,,Girona,Sevilla,5,1,H,12,9,8,3,,Míchel,Quique Sánchez Flores,
SP1,2024-25,,Granada,Ath Madrid,0,1,A,17,10,2,5,,José Ramón Sandoval,Diego Simeone,
SP1,2024-25,,Almeria,Alaves,0,3,A,19,11,7,3,,Pepe Mel,Luis García,
SP1,2024-25,,Sociedad,Vallecano,0,0,D,6,5,3,0,,Imanol Alguacil,Iñigo Pérez,
SP1,2024-25,,Las Palmas,Real Madrid,1,2,A,7,13,2,5,,García Pimienta,Carlo Ancelotti,
SP1,2024-25,,Barcelona,Villarreal,3,5,A,22,9,10,6,,Xavi,Marcelino,
SP1,2024-25,,Mallorca,Betis,0,1,A,14,8,1,2,,Javier Aguirre,Manuel Pellegrini,
SP1,2024-25,,Celta,Girona,0,1,A,10,15,5,6,,Claudio Giráldez,Míchel,
SP1,2024-25,,Cadiz,Ath Bilbao,0,0,D,9,8,2,0,,Mauricio Pellegrino,Ernesto Valverde,
SP1,2024-25,,Sevilla,Osasuna,1,1,D,10,11,5,4,,Quique Sánchez Flores,Jagoba Arrasate,
SP1,2024-25,,Ath Madrid,Valencia,2,0,H,12,10,8,3,,Diego Simeone,Rubén Baraja,
SP1,2024-25,,Getafe,Granada,2,0,H,7,16,4,3,,José Bordalás,José Ramón Sandoval,
SP1,2024-25,,Barcelona,Osasuna,1,0,H,16,9,4,1,,Xavi,Jagoba Arrasate,
SP1,2024-25,,Ath Madrid,Vallecano,2,1,H,8,10,3,2,,Diego Simeone,Iñigo Pérez,
SP1,2024-25,2024-01-02,Getafe,Real Madrid,0,2,A,10,16,2,9,,José Bordalás,Carlo Ancelotti,
SP1,2024-25,2024-02-02,Ath Bilbao,Mallorca,4,0,H,13,6,6,2,,Ernesto Valverde,Javier Aguirre,
SP1,2024-25,2024-03-02,Valencia,Almeria,2,1,H,7,15,2,5,,Rubén Baraja,Pepe Mel,
SP1,2024-25,2024-03-02,Granada,Las Palmas,1,1,D,3,16,1,6,,José Ramón Sandoval,García Pimienta,
SP1,2024-25,2024-03-02,Alaves,Barcelona,1,3,A,13,8,2,5,,Luis García,Xavi,
SP1,2024-25,2024-03-02,Girona,Sociedad,0,0,D,11,11,3,2,,Míchel,Imanol Alguacil,
SP1,2024-25,2024-04-02,Villarreal,Cadiz,0,0,D,19,8,4,2,,Marcelino,Mauricio Pellegrino,
SP1,2024-25,2024-04-02,Osasuna,Celta,0,3,A,18,6,1,5,,Jagoba Arrasate,Claudio Giráldez,
